Эмоция,Изображение,Unicode,Название
0,,,Неизвестная эмоция
1,,😀,Ухмыляющееся лицо
2,,😃,Улыбающееся лицо с большими глазами
3,,😄,Ухмыляющееся лицо с улыбающимися глазами
4,,😁,Сияющее лицо с улыбающимися глазами
5,,🙂,Слегка улыбающееся лицо
6,,😉,Подмигивающее лицо
7,,😗,Целующее лицо
8,,😐,Нейтральное лицо
9,,🙄,Лицо с закатившимися глазами
10,,🫤,Инсульт?!
11,,😟,Озабоченное лицо
12,,🙁,Слегка нахмуренное лицо
13,,😮,Лицо с открытым ртом
14,,😳,Раскрасневшееся лицо
15,,🥺,Умоляющее лицо
16,,😦,Нахмуренное лицо с открытым ртом
17,,😢,Плачущее лицо
18,,😱,"Лицо, кричащее от страха"
19,,😞,Разочарованное лицо
20,,😠,Сердитое лицо
